Holiday,Start Date,End Date
New Year's Day,2009-01-01,2009-01-01
Chinese New Year,2009-01-26,2009-02-01
Valentine's Day,2009-02-14,2009-02-14
Easter,2009-04-10,2009-04-13
Mother's Day,2009-05-10,2009-05-10
Father's Day,2009-06-21,2009-06-21
Independence Day,2009-07-04,2009-07-04
Back to School,2009-08-15,2009-09-15
Halloween,2009-10-31,2009-10-31
Black Friday,2009-11-27,2009-11-30
New Year's Day,2010-01-01,2010-01-01
Chinese New Year,2010-01-26,2010-02-01
Valentine's Day,2010-02-14,2010-02-14
Easter,2010-04-02,2010-04-05
Mother's Day,2010-05-10,2010-05-10
Father's Day,2010-06-21,2010-06-21
Independence Day,2010-07-04,2010-07-04
Back to School,2010-08-15,2010-09-15
Halloween,2010-10-31,2010-10-31
Black Friday,2010-11-27,2010-11-30
New Year's Day,2011-01-01,2011-01-01
Chinese New Year,2011-01-26,2011-02-01
Valentine's Day,2011-02-14,2011-02-14
Easter,2011-04-22,2011-04-25
Mother's Day,2011-05-10,2011-05-10
Father's Day,2011-06-21,2011-06-21
Independence Day,2011-07-04,2011-07-04
Back to School,2011-08-15,2011-09-15
Halloween,2011-10-31,2011-10-31
Black Friday,2011-11-27,2011-11-30
